NUMĂRUL TURIŞTILOR CAZAŢI ÎN STRUCTURILE DE PRIMIRE TURISTICĂ COLECTIVE CU FUNCŢIUNE DE CAZARE,,,,,,,,,,,,,,
,TOTAL,Hoteluri şi moteluri,Pensiuni turistice şi agroturistice,Cămine pentru vizitatori,Structuri de întremare,Sate de vacanţă şi alte structuri de odihnă,Tabere de vacanţă pentru copii,TOTAL,Hoteluri şi moteluri,Pensiuni turistice şi agroturistice,Cămine pentru vizitatori,Structuri de întremare,Sate de vacanţă şi alte structuri de odihnă,Tabere de vacanţă pentru copii
,T O T A L,,,,,,,din care turişti străini,,,,,,
trim.III,142074,60703,16170,2594,9167,30058,23382,56954,44030,4779,1695,148,6295,7
trim. IV,96256,61306,12983,1293,7338,13336,-,57356,47363,3505,591,91,5806,-
2024,474183,281990,51915,7173,28422,67912,36771,254020,213203,13741,3814,537,22644,81
trim. I,84189,57952,10006,1517,5216,9025,473,52153,44043,2997,628,54,4431,-
trim. II,125026,75122,13594,1831,6040,18702,9737,66537,55877,3566,918,136,6039,1
trim.III,155801,75840,16443,2136,9292,27333,24757,69979,57701,4067,1260,196,6675,80
trim. IV,109167,73076,11872,1689,7874,12852,1804,65351,55582,3111,1008,151,5499,-
2025,,,,,,,,,,,,,,-
trim. I,89589,62305,11204,1693,5644,8433,310,54475,46262,2944,846,122,4301,-
trim. II,132684,80633,16715,1684,6364,17320,9968,73486,61658,4599,881,216,6114,18
trim.III,177709,92642,23523,2122,9875,26142,23405,84194,70278,5952,1010,289,6661,4
trim. IV,,,,,,,,,,,,,,
